name,state,state_code
Mercer County Community College,New Jersey,NJ
Mercer University,Georgia,GA
Mercy College,New York,NY
Mercy College of Health Sciences,Iowa,IA
Mercy College of Ohio,Ohio,OH
Mercyhurst University,Pennsylvania,PA
Meredith College,North Carolina,NC
Meridian Community College,Mississippi,MS
Merrimack College,Massachusetts,MA
Merritt College,California,CA
Mesa Community College,Arizona,AZ
Mesabi Range College,Minnesota,MN
Mesalands Community College,New Mexico,NM
Mesivta Torah Vodaath Seminary,New York,NY
Messiah College,Pennsylvania,PA
Methodist College,Illinois,IL
Methodist University,North Carolina,NC
Metropolitan College of New York,New York,NY
Metropolitan Community College,Nebraska,NE
Metropolitan Community College - Kansas City,Missouri,MO
Metropolitan State University,Minnesota,MN
Metropolitan State University of Denver,Colorado,CO
Miami Dade College,Florida,FL
Miami University: Hamilton,Ohio,OH
Miami University: Middletown,Ohio,OH
Miami University: Oxford,Ohio,OH
Michigan Jewish Institute,Michigan,MI
Michigan State University,Michigan,MI
Michigan Technological University,Michigan,MI
Mid Michigan Community College,Michigan,MI
Mid-America Christian University,Oklahoma,OK
Mid-America College of Funeral Service,Indiana,IN
Mid-Atlantic Christian University,North Carolina,NC
Mid-Plains Community College,Nebraska,NE
Mid-State Technical College,Wisconsin,WI
MidAmerica Nazarene University,Kansas,KS
Middle Georgia State University,Georgia,GA
Middle Tennessee State University,Tennessee,TN
Middlebury College,Vermont,VT
Middlesex Community College,Connecticut,CT
Middlesex Community College,Massachusetts,MA
Middlesex County College,New Jersey,NJ
Midland College,Texas,TX
Midland University,Nebraska,NE
Midlands Technical College,South Carolina,SC
Midstate College,Illinois,IL
Midway University,Kentucky,KY
Midwest University,Missouri,MO
Midwestern State University,Texas,TX
Mildred Elley: Albany,New York,NY
Mildred Elley: New York City,New York,NY
Miles College,Alabama,AL
Miles Community College,Montana,MT
Millersville University of Pennsylvania,Pennsylvania,PA
Milligan College,Tennessee,TN
Millikin University,Illinois,IL
Mills College,California,CA
Millsaps College,Mississippi,MS
Milwaukee Area Technical College,Wisconsin,WI
Milwaukee Institute of Art & Design,Wisconsin,WI
Milwaukee School of Engineering,Wisconsin,WI
Mineral Area College,Missouri,MO
Minneapolis College of Art and Design,Minnesota,MN
Minneapolis Community and Technical College,Minnesota,MN
Minnesota State College - Southeast Technical,Minnesota,MN
Minnesota State Community and Technical College,Minnesota,MN
Minnesota State University Mankato,Minnesota,MN
Minnesota State University Moorhead,Minnesota,MN
Minnesota West Community and Technical College,Minnesota,MN
Minot State University,North Dakota,ND
MiraCosta College,California,CA
Mirrer Yeshiva Central Institute,New York,NY
Misericordia University,Pennsylvania,PA
Mission College,California,CA
Mississippi College,Mississippi,MS
Mississippi Delta Community College,Mississippi,MS
Mississippi Gulf Coast Community College,Mississippi,MS
Mississippi State University,Mississippi,MS
Mississippi University for Women,Mississippi,MS
Mississippi Valley State University,Mississippi,MS
Missouri Baptist University,Missouri,MO
Missouri Southern State University,Missouri,MO
Missouri State University,Missouri,MO
Missouri State University: West Plains,Missouri,MO
Missouri University of Science and Technology,Missouri,MO
Missouri Valley College,Missouri,MO
Missouri Western State University,Missouri,MO
Mitchell College,Connecticut,CT
Mitchell Community College,North Carolina,NC
Mitchell Technical Institute,South Dakota,SD
Moberly Area Community College,Missouri,MO
Modesto Junior College,California,CA
Mohave Community College,Arizona,AZ
Mohawk Valley Community College,New York,NY
Molloy College,New York,NY
Monmouth College,Illinois,IL
Monmouth University,New Jersey,NJ
Monroe College,New York,NY
Monroe Community College,New York,NY
Monroe County Community College,Michigan,MI
Montana Bible College,Montana,MT
Montana State University,Montana,MT
Montana State University: Billings,Montana,MT
Montana State University: Northern,Montana,MT
Montana Tech of the University of Montana,Montana,MT
Montcalm Community College,Michigan,MI
Montclair State University,New Jersey,NJ
Monterey Peninsula College,California,CA
Montgomery College Rockville,Maryland,MD
Montgomery Community College,North Carolina,NC
Montgomery County Community College,Pennsylvania,PA
Montreat College,North Carolina,NC
Montserrat College of Art,Massachusetts,MA
Moody Bible Institute,Illinois,IL
Moore College of Art and Design,Pennsylvania,PA
Moorpark College,California,CA
Moraine Park Technical College,Wisconsin,WI
Moraine Valley Community College,Illinois,IL
Moravian College,Pennsylvania,PA
Morehead State University,Kentucky,KY
Morehouse College,Georgia,GA
Moreno Valley College,California,CA
Morgan Community College,Colorado,CO
Morgan State University,Maryland,MD
Morningside College,Iowa,IA
Morris College,South Carolina,SC
Morrison Institute of Technology,Illinois,IL
Morton College,Illinois,IL
Motlow State Community College,Tennessee,TN
Mott Community College,Michigan,MI
Mount Aloysius College,Pennsylvania,PA
Mount Carmel College of Nursing,Ohio,OH
Mount Holyoke College,Massachusetts,MA
Mount Ida College,Massachusetts,MA
Mount Marty College,South Dakota,SD
Mount Mary University,Wisconsin,WI
Mount Mercy University,Iowa,IA
Mount Saint Mary College,New York,NY
Mount Saint Mary's University,California,CA
Mount San Antonio College,California,CA
Mount San Jacinto College,California,CA
Mount St. Joseph University,Ohio,OH
Mount St. Mary's University,Maryland,MD
Mount Vernon Nazarene University,Ohio,OH
Mount Wachusett Community College,Massachusetts,MA
Mountain Empire Community College,Virginia,VA
Mountain View College,Texas,TX
Mt. Hood Community College,Oregon,OR
Mt. Sierra College,California,CA
MTI College,California,CA
Muhlenberg College,Pennsylvania,PA
Multnomah University,Oregon,OR
Murray State College,Oklahoma,OK
Murray State University,Kentucky,KY
Muscatine Community College,Iowa,IA
