year,Team,college,PLAYER,player_height,player_weight,Pos_x,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGMI,FG3MI,FTMI,fg_production,fg3_production,ft_production,ancillary_production,shooting_production,total_production,fg_efficiency,fg3_efficiency,ft_efficiency
2020,Toronto Raptors,New Mexico State,Pascal Siakam,205.74,104.32616,PF,56,2006,437,961,0.455,73,246,0.297,249,301,0.827,95,310,405,250,64,37,130,174,1196,524,173,52,-174,-300,197,164.3,-277,-112.69999999999999,0.4547346514047867,0.2967479674796748,0.8272425249169435
2020,Indiana Pacers,Virginia,Malcolm Brogdon,195.58,103.872568,PG,56,1930,444,980,0.453,145,374,0.388,153,177,0.864,58,236,294,329,49,15,115,110,1186,536,229,24,-184,-252,129,139.25,-307,-167.75,0.4530612244897959,0.3877005347593583,0.864406779661017
2020,Sacramento Kings,Oklahoma,Buddy Hield,193.04,99.79024,SG,71,2433,403,992,0.406,282,721,0.391,88,104,0.846,29,305,334,257,63,30,130,175,1176,589,439,16,-372,-471,72,127.75,-771,-643.25,0.40625,0.391123439667129,0.8461538461538461
2020,Dallas Mavericks,Michigan,Tim Hardaway Jr.,195.58,92.98636,SG,70,1985,407,911,0.447,207,529,0.391,142,174,0.816,20,209,229,126,31,11,64,111,1163,504,322,32,-194,-345,110,77.2,-429,-351.8,0.446761800219539,0.391304347826087,0.8160919540229885
2020,Denver Nuggets,Missouri,Michael Porter Jr.,208.28,98.883056,SF,61,1912,443,817,0.542,170,382,0.445,106,134,0.791,91,354,445,70,40,54,77,126,1162,374,212,28,138,-126,78,153.7,90,243.7,0.5422276621787026,0.44502617801047123,0.7910447761194029
2020,Memphis Grizzlies,Oregon,Dillon Brooks,200.66,102.0582,SF,67,1997,432,1031,0.419,128,372,0.344,159,195,0.815,53,143,196,157,78,26,119,237,1151,599,244,36,-334,-348,123,82.15,-559,-476.85,0.4190106692531523,0.34408602150537637,0.8153846153846154
2020,Phoenix Suns,Wake Forest,Chris Paul,182.88,79.3786,PG,70,2200,439,879,0.499,102,258,0.395,169,181,0.934,25,287,312,622,99,19,156,166,1149,440,156,12,-2,-162,157,212.45,-7,205.45,0.49943117178612056,0.3953488372093023,0.9337016574585635
2020,Los Angeles Lakers,,LeBron James,205.74,113.398,PG,45,1504,422,823,0.513,104,285,0.365,178,255,0.698,29,317,346,350,48,25,168,70,1126,401,181,77,42,-231,101,130.25,-88,42.25,0.5127582017010935,0.3649122807017544,0.6980392156862745
2020,Miami Heat,Marquette,Jimmy Butler,200.66,104.32616,SF,52,1745,366,736,0.497,25,102,0.245,359,416,0.863,94,265,359,369,108,18,109,71,1116,370,77,57,-8,-156,302,210.45,138,348.45,0.49728260869565216,0.24509803921568626,0.8629807692307693
2020,Atlanta Hawks,Wake Forest,John Collins,205.74,106.59412,PF,63,1848,429,771,0.556,83,208,0.399,170,204,0.833,118,349,467,78,34,63,84,193,1111,342,125,34,174,-126,136,162.6,184,346.6,0.556420233463035,0.39903846153846156,0.8333333333333334
2020,Portland Trail Blazers,Lehigh,CJ McCollum,190.5,86.18248,SG,47,1600,405,884,0.458,169,420,0.402,108,133,0.812,30,155,185,223,44,21,65,87,1087,479,251,25,-148,-246,83,105.15,-311,-205.85,0.4581447963800905,0.4023809523809524,0.8120300751879699
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,Brooklyn Nets,Arizona State,James Harden,195.58,99.79024,PG,44,1609,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,53,33,177,99,1083,392,213,45,-100,-276,233,164.05,-143,21.05000000000001,0.4659400544959128,0.36227544910179643,0.8606811145510835
2020,San Antonio Spurs,Washington,Dejounte Murray,193.04,81.64656,PG,67,2139,441,974,0.453,63,199,0.317,106,134,0.791,58,415,473,363,101,7,117,135,1051,533,136,28,-184,-219,78,212.25,-325,-112.75,0.4527720739219713,0.3165829145728643,0.7910447761194029
